ID.interactor.A,RefSeq.interactor.A,UniprotKB.interactor.A,ID.interactor.B,RefSeq.interactor.B,UniprotKB.interactor.B
DIP-2250N,NP_009676,P02994,DIP-6626N,NP_015088,Q12003
DIP-2704N,NP_010157,P25694,DIP-6487N,NP_015340,Q12531
DIP-6487N,NP_015340,Q12531,DIP-7648N,NP_013360,P19882
DIP-411N,NP_012579,P12398,DIP-6487N,NP_015340,Q12531
DIP-2697N,NP_012526,P47079,DIP-6628N,NP_015418,Q06834
DIP-6628N,NP_015418,Q06834,DIP-2704N,NP_010157,P25694
DIP-7970N,NP_001018030,P25379,DIP-6628N,NP_015418,Q06834
DIP-2333N,NP_009576,P04385,DIP-6628N,NP_015418,Q06834
DIP-2972N,NP_011950,P38691,DIP-6628N,NP_015418,Q06834
DIP-14N,NP_014794,P08518,DIP-6628N,NP_015418,Q06834
DIP-2019N,NP_116615,P01123,DIP-8324N,NP_015264,P54115
DIP-2333N,NP_009576,P04385,DIP-2019N,NP_116615,P01123
DIP-2019N,NP_116615,P01123,DIP-411N,NP_012579,P12398
DIP-2019N,NP_116615,P01123,DIP-2250N,NP_009676,P02994
DIP-4954N,NP_009823,P38146,DIP-3025N,NP_009453,P07251
DIP-4954N,NP_009823,P38146,DIP-4313N,NP_011104,P29311
DIP-4954N,NP_009823,P38146,DIP-525N,NP_009890,P17709
DIP-6260N,NP_012770,P00950,DIP-4954N,NP_009823,P38146
DIP-4954N,NP_009823,P38146,DIP-5377N,NP_116711,P04806
DIP-4954N,NP_009823,P38146,DIP-2250N,NP_009676,P02994
DIP-2025N,NP_014306,P36019,DIP-2275N,NP_011092,P04147
DIP-2025N,NP_014306,P36019,DIP-5635N,NP_015065,Q08975
DIP-5577N,NP_013363,Q99260,DIP-3028N,NP_012655,P00830
DIP-5577N,NP_013363,Q99260,DIP-1605N,NP_009755,P12709
DIP-5577N,NP_013363,Q99260,DIP-2250N,NP_009676,P02994
DIP-8852N,-,Q08224,DIP-5577N,NP_013363,Q99260
DIP-2243N,NP_012201,P40517,DIP-310N,NP_116614,P60010
DIP-2243N,NP_012201,P40517,DIP-8852N,-,Q08224
DIP-4025N,NP_015251,P40328,DIP-525N,NP_009890,P17709
DIP-5377N,NP_116711,P04806,DIP-4025N,NP_015251,P40328
DIP-4025N,NP_015251,P40328,DIP-1605N,NP_009755,P12709
DIP-310N,NP_116614,P60010,DIP-6484N,NP_014915,Q12024
DIP-6484N,NP_014915,Q12024,DIP-7880N,-,P04173
DIP-6484N,NP_014915,Q12024,DIP-2395N,NP_013941,P25303
DIP-6484N,NP_014915,Q12024,DIP-2567N,NP_013782,Q04748
DIP-5395N,NP_015341,Q12522,DIP-4865N,NP_012824,P34246
DIP-4865N,NP_012824,P34246,DIP-1299N,NP_009613,P38236
DIP-6839N,NP_009421,P35845,DIP-4470N,NP_013501,P32794
DIP-6839N,NP_009421,P35845,DIP-4309N,NP_011708,P00359
DIP-2822N,NP_013618,P23639,DIP-4255N,NP_011078,Q01477
DIP-2810N,NP_011504,P21243,DIP-4255N,NP_011078,Q01477
DIP-2303N,NP_015366,P38431,DIP-4865N,NP_012824,P34246
DIP-4255N,NP_011078,Q01477,DIP-1517N,NP_013598,P54786
DIP-1746N,NP_015499,P52917,DIP-1746N,NP_015499,P52917
DIP-2236N,NP_011704,P41695,DIP-2236N,NP_011704,P41695
DIP-4595N,NP_014977,P22203,DIP-2720N,NP_011905,P48836
DIP-2721N,NP_012866,P35729,DIP-5818N,NP_012576,P46673
DIP-8123N,NP_010887,P25515,DIP-2960N,NP_014913,P32563
DIP-1380N,NP_012974,P25293,DIP-8842N,-,Q07794
DIP-48375N,NP_076886,Q3E7C1,DIP-5783N,NP_015203,Q02939
DIP-5783N,NP_015203,Q02939,DIP-5783N,NP_015203,Q02939
DIP-48375N,NP_076886,Q3E7C1,DIP-48375N,NP_076886,Q3E7C1
DIP-8930N,-,Q12245,DIP-4747N,NP_013121,Q07951
DIP-4844N,NP_014604,P40303,DIP-4844N,NP_014604,P40303
DIP-2810N,NP_011504,P21243,DIP-8930N,-,Q12245
