ID.interactor.A,RefSeq.interactor.A,UniprotKB.interactor.A,ID.interactor.B,RefSeq.interactor.B,UniprotKB.interactor.B
DIP-1240N,NP_010571,P31111,DIP-1240N,NP_010571,P31111
DIP-2372N,NP_013365,P14291,DIP-5489N,NP_012233,P40537
DIP-2372N,NP_013365,P14291,DIP-1531N,NP_010219,P50623
DIP-1554N,NP_010361,P38953,DIP-415N,NP_012443,P12954
DIP-59642N,NP_878060,Q3E829,DIP-59641N,NP_076910,Q3E835
DIP-2238N,NP_011051,P39940,DIP-6596N,NP_009638,P15731
DIP-1239N,NP_013472,Q05930,DIP-594N,NP_013661,P04387
DIP-594N,NP_013661,P04387,DIP-1549N,NP_013268,P61864
DIP-1236N,NP_010615,P52286,DIP-594N,NP_013661,P04387
DIP-594N,NP_013661,P04387,DIP-6404N,NP_012386,P47005
DIP-1953N,NP_013622,Q04511,DIP-594N,NP_013661,P04387
DIP-18N,NP_010765,P06782,DIP-2093N,NP_011925,P38782
DIP-3922N,NP_015494,Q06213,DIP-18N,NP_010765,P06782
DIP-18N,NP_010765,P06782,DIP-1433N,NP_009812,P32570
DIP-290N,NP_010594,P47822,DIP-1236N,NP_010615,P52286
DIP-4292N,NP_014193,P40161,DIP-4292N,NP_014193,P40161
DIP-1304N,NP_012659,P47160,DIP-2145N,NP_013924,Q04338
DIP-337N,NP_009378,P07866,DIP-7214N,NP_014876,Q01919
